image_id,height,width,x,y,w,h,class_id
VAIPE_P_966_0.jpg,4032,3024,1139,1488,453,459,51
VAIPE_P_966_0.jpg,4032,3024,2088,1959,465,453,51
VAIPE_P_966_0.jpg,4032,3024,1493,2646,899,752,19
VAIPE_P_966_0.jpg,4032,3024,1077,2162,800,744,19
VAIPE_P_968_4.jpg,4000,3000,995,1839,597,474,99
VAIPE_P_968_4.jpg,4000,3000,1124,2331,406,424,64
VAIPE_P_968_0.jpg,4000,3000,1007,1919,437,455,64
VAIPE_P_968_0.jpg,4000,3000,847,2460,788,486,99
VAIPE_P_969_3.jpg,3096,4128,1926,1727,419,438,51
VAIPE_P_969_3.jpg,3096,4128,2275,1594,826,629,10
VAIPE_P_969_3.jpg,3096,4128,980,1022,476,406,95
VAIPE_P_970_1.jpg,4000,3000,702,2418,658,667,26
VAIPE_P_970_1.jpg,4000,3000,569,2080,427,764,26
VAIPE_P_970_1.jpg,4000,3000,1280,1920,578,587,2
VAIPE_P_970_1.jpg,4000,3000,1147,2116,347,382,64
VAIPE_P_970_1.jpg,4000,3000,631,1751,391,364,64
VAIPE_P_970_1.jpg,4000,3000,907,1902,364,658,2
VAIPE_P_966_1.jpg,4032,3024,358,1116,403,322,51
VAIPE_P_966_1.jpg,4032,3024,1971,1872,403,391,51
VAIPE_P_966_1.jpg,4032,3024,1313,992,682,322,19
VAIPE_P_966_1.jpg,4032,3024,699,2219,819,459,19
VAIPE_P_970_0.jpg,4000,3000,1182,1902,293,516,2
VAIPE_P_970_0.jpg,4000,3000,1573,2151,418,462,2
VAIPE_P_970_0.jpg,4000,3000,1396,1778,258,578,26
VAIPE_P_970_0.jpg,4000,3000,1627,1964,267,293,64
VAIPE_P_970_0.jpg,4000,3000,782,1804,338,551,26
VAIPE_P_970_0.jpg,4000,3000,1313,2311,290,307,64
VAIPE_P_969_7.jpg,3096,4128,2008,1594,425,432,51
VAIPE_P_969_7.jpg,3096,4128,2275,1429,800,737,10
VAIPE_P_969_7.jpg,3096,4128,1202,1086,432,419,95
VAIPE_P_969_1.jpg,4128,3096,1284,1918,362,381,51
VAIPE_P_969_1.jpg,4128,3096,1107,1537,768,476,10
VAIPE_P_969_1.jpg,4128,3096,1735,2210,406,400,95
VAIPE_P_965_2.jpg,4032,3024,1557,1278,589,856,19
VAIPE_P_965_2.jpg,4032,3024,1030,2264,974,453,19
VAIPE_P_965_2.jpg,4032,3024,869,1780,825,360,2
VAIPE_P_965_2.jpg,4032,3024,1973,2984,887,639,2
VAIPE_P_968_2.jpg,4000,3000,946,2263,714,443,99
VAIPE_P_968_2.jpg,4000,3000,909,2694,480,461,64
VAIPE_P_968_1.jpg,4000,3000,896,1611,806,474,99
VAIPE_P_968_1.jpg,4000,3000,866,2042,535,498,64
VAIPE_P_971_0.jpg,4032,3024,1111,1622,663,1048,104
VAIPE_P_976_1.jpg,1280,960,341,597,168,145,8
VAIPE_P_976_1.jpg,1280,960,455,731,91,88,46
VAIPE_P_971_5.jpg,4032,3024,1281,1434,430,1120,104
VAIPE_P_971_1.jpg,4032,3024,1120,1667,950,502,104
VAIPE_P_977_4.jpg,4000,3000,1022,1471,455,406,89
VAIPE_P_977_4.jpg,4000,3000,1022,1772,289,283,64
VAIPE_P_977_4.jpg,4000,3000,1489,1637,265,277,64
VAIPE_P_977_2.jpg,4000,3000,1582,1662,178,375,8
VAIPE_P_977_2.jpg,4000,3000,1378,1637,258,283,64
