image_name,class_id,confidence_score,x_min,y_min,x_max,y_max
VAIPE_P_0_0.jpg,10,0.9289200901985168,1198,1626,1700,2335
VAIPE_P_0_0.jpg,10,0.9211827516555786,1619,2143,1961,2929
VAIPE_P_0_0.jpg,107,0.917786717414856,1061,2226,1691,2675
VAIPE_P_0_1.jpg,10,0.9284442067146301,446,2365,1263,3574
VAIPE_P_0_1.jpg,10,0.9234501123428345,968,1713,2185,2318
VAIPE_P_0_1.jpg,107,0.9013041257858276,1112,2630,2131,3373
VAIPE_P_0_1.jpg,8,0.8480017781257629,1163,2181,1982,2555
VAIPE_P_0_2.jpg,10,0.9272962808609009,1251,1866,1691,2673
VAIPE_P_0_2.jpg,10,0.9194508194923401,800,2108,1354,2903
VAIPE_P_0_2.jpg,107,0.8947142958641052,969,2614,1639,3213
VAIPE_P_0_2.jpg,8,0.8374171853065491,1604,1907,1897,2458
VAIPE_P_0_2.jpg,10,0.636101245880127,1604,1898,1893,2474
VAIPE_P_0_3.jpg,10,0.9321391582489014,844,2125,1473,2902
VAIPE_P_0_3.jpg,89,0.9209858179092407,1173,1994,1773,2622
VAIPE_P_0_3.jpg,10,0.7938609719276428,1897,1447,2544,2180
VAIPE_P_0_4.jpg,107,0.9160175323486328,1567,1865,1967,2262
VAIPE_P_0_4.jpg,107,0.9059199094772339,1186,2742,1691,3624
VAIPE_P_0_4.jpg,107,0.9012641906738281,1386,2354,1788,2760
VAIPE_P_0_4.jpg,107,0.8925833106040955,1353,1481,1954,1876
VAIPE_P_0_4.jpg,107,0.8864877820014954,2022,2064,2376,2641
VAIPE_P_0_4.jpg,107,0.87096107006073,1751,2240,2251,3053
VAIPE_P_0_5.jpg,107,0.8464228510856628,1087,2209,1581,2701
VAIPE_P_0_5.jpg,107,0.8361769318580627,1644,1942,2507,2730
VAIPE_P_0_5.jpg,107,0.8127700090408325,1520,1170,2038,1692
VAIPE_P_0_5.jpg,107,0.780860424041748,680,884,1233,1688
VAIPE_P_0_5.jpg,107,0.7151005864143372,224,2033,929,2555
VAIPE_P_0_5.jpg,107,0.6139479279518127,1566,2735,2021,3309
VAIPE_P_0_5.jpg,107,0.2591826021671295,228,2059,921,2555
VAIPE_P_0_6.jpg,107,0.9151427149772644,325,1947,1186,2734
VAIPE_P_0_6.jpg,107,0.8767191767692566,1227,2743,1840,3650
VAIPE_P_0_6.jpg,107,0.8583903312683105,860,1264,1761,2219
VAIPE_P_0_6.jpg,107,0.7737058401107788,1869,2127,2615,2738
VAIPE_P_1_0.jpg,56,0.8386072516441345,2445,973,2997,1824
VAIPE_P_1_1.jpg,107,0.9083182215690613,2398,1792,3386,2409
