image_name,class_id,confidence_score,x_min,y_min,x_max,y_max
VAIPE_P_0_0.jpg,64,0.7098324298858643,1515,1816,1785,2070
VAIPE_P_0_0.jpg,64,0.6445909142494202,2210,2097,2494,2353
VAIPE_P_0_1.jpg,64,0.892163097858429,972,1707,1306,2036
VAIPE_P_0_1.jpg,64,0.8851244449615479,1396,1762,1730,2086
VAIPE_P_0_1.jpg,10,0.44322091341018677,2867,3296,3023,4024
VAIPE_P_0_2.jpg,64,0.8008050322532654,1638,2089,1933,2365
VAIPE_P_0_2.jpg,64,0.5068708062171936,2212,2174,2516,2454
VAIPE_P_0_2.jpg,64,0.4203855097293854,2213,2174,2515,2454
VAIPE_P_0_3.jpg,64,0.8181109428405762,1837,1911,2132,2191
VAIPE_P_0_3.jpg,64,0.7801797389984131,1719,1687,2007,1926
VAIPE_P_0_4.jpg,64,0.8956619501113892,1277,1667,1570,1928
VAIPE_P_0_4.jpg,64,0.8776407837867737,1605,1640,1905,1924
VAIPE_P_0_4.jpg,107,0.874140202999115,697,1659,895,1840
VAIPE_P_0_5.jpg,64,0.8867432475090027,985,1578,1289,1852
VAIPE_P_0_5.jpg,64,0.8703412413597107,1514,1453,1827,1725
VAIPE_P_0_5.jpg,107,0.8515657782554626,1408,1800,1620,2010
VAIPE_P_0_6.jpg,10,0.9247199892997742,1391,1444,1922,1784
VAIPE_P_0_6.jpg,64,0.7726837396621704,1525,1814,1798,2068
VAIPE_P_0_6.jpg,107,0.6789073348045349,1677,1670,1923,1874
VAIPE_P_0_6.jpg,64,0.31197062134742737,1681,1665,1928,1879
VAIPE_P_0_7.jpg,64,0.906543493270874,1725,1952,2036,2238
VAIPE_P_0_7.jpg,107,0.9000240564346313,1546,2128,1744,2333
VAIPE_P_0_7.jpg,64,0.8814178705215454,1209,1952,1513,2243
VAIPE_P_0_8.jpg,10,0.9056755304336548,413,1349,694,1785
VAIPE_P_0_8.jpg,64,0.820455014705658,2366,1984,2639,2228
VAIPE_P_0_8.jpg,64,0.8187947869300842,2562,2240,2842,2514
VAIPE_P_0_9.jpg,107,0.8495036363601685,1906,2661,2130,2875
VAIPE_P_0_9.jpg,64,0.7054303288459778,1114,2104,1461,2441
VAIPE_P_0_9.jpg,64,0.5874627828598022,1612,2000,1953,2321
VAIPE_P_0_9.jpg,64,0.4894711971282959,1609,1998,1955,2323
VAIPE_P_0_10.jpg,64,0.866450846195221,1760,2150,2105,2469
VAIPE_P_0_10.jpg,64,0.8649360537528992,1129,1671,1420,1980
VAIPE_P_0_11.jpg,10,0.8996294736862183,33,1438,394,2006
VAIPE_P_0_11.jpg,64,0.8646464943885803,2068,2357,2416,2688
VAIPE_P_0_11.jpg,64,0.8366222977638245,1827,2043,2169,2366
VAIPE_P_0_12.jpg,107,0.9144635200500488,1490,1955,1755,2223
VAIPE_P_0_12.jpg,64,0.8821833729743958,1659,1554,2029,1901
VAIPE_P_0_12.jpg,64,0.8802854418754578,1315,1391,1675,1740
VAIPE_P_0_13.jpg,64,0.8380425572395325,1729,1995,2062,2335
VAIPE_P_0_13.jpg,64,0.8202236890792847,1289,1775,1609,2116
VAIPE_P_0_14.jpg,107,0.8513633012771606,1212,2867,1425,3077
VAIPE_P_0_14.jpg,64,0.8474331498146057,1317,2033,1606,2306
VAIPE_P_0_14.jpg,64,0.8145025372505188,1737,1939,2030,2209
VAIPE_P_0_15.jpg,107,0.8983224630355835,1732,1770,1996,2027
