,image_id,prediction,confidence
0,0_VAIPE_P_23_19.jpg,59.0,0.45959222
1,5_VAIPE_P_163_14.jpg,2.0,0.9999989
2,1_VAIPE_P_61_6.jpg,59.0,0.5735241
3,1_VAIPE_P_163_0.jpg,2.0,0.9999993
4,0_VAIPE_P_168_2.jpg,51.0,0.98390687
5,2_VAIPE_P_47_12.jpg,99.0,0.67538
6,1_VAIPE_P_168_3.jpg,51.0,0.9999912
7,2_VAIPE_P_8_4.jpg,37.0,0.99981827
8,1_VAIPE_P_15_18.jpg,37.0,0.9990977
9,0_VAIPE_P_66_8.jpg,90.0,0.999902
10,0_VAIPE_P_110_2.jpg,104.0,0.98026615
11,0_VAIPE_P_13_0.jpg,55.0,0.99952185
12,0_VAIPE_P_89_5.jpg,64.0,0.99999154
13,4_VAIPE_P_142_0.jpg,64.0,0.999995
14,4_VAIPE_P_162_20.jpg,64.0,0.9999964
15,2_VAIPE_P_38_6.jpg,10.0,0.99998415
16,0_VAIPE_P_18_0.jpg,51.0,0.9947679
17,2_VAIPE_P_23_16.jpg,23.0,0.9948279
18,7_VAIPE_P_163_3.jpg,2.0,0.99999595
19,1_VAIPE_P_124_0.jpg,26.0,0.9999709
20,0_VAIPE_P_162_4.jpg,78.0,0.75817704
21,0_VAIPE_P_171_4.jpg,95.0,0.9999957
22,1_VAIPE_P_157_9.jpg,26.0,0.99999714
23,2_VAIPE_P_155_19.jpg,89.0,0.9983057
24,4_VAIPE_P_77_2.jpg,51.0,0.42084444
25,1_VAIPE_P_103_7.jpg,91.0,0.99999475
26,4_VAIPE_P_34_3.jpg,26.0,0.035919067
27,0_VAIPE_P_7_8.jpg,12.0,0.999796
28,0_VAIPE_P_96_12.jpg,106.0,0.0013768917
29,2_VAIPE_P_64_9.jpg,79.0,0.31878147
30,1_VAIPE_P_23_20.jpg,89.0,0.10245228
31,2_VAIPE_P_47_19.jpg,81.0,0.43648836
32,2_VAIPE_P_89_9.jpg,104.0,0.9999815
33,5_VAIPE_P_162_13.jpg,24.0,1.0
34,0_VAIPE_P_134_0.jpg,74.0,0.99501246
35,0_VAIPE_P_164_10.jpg,73.0,0.9483079
36,0_VAIPE_P_32_6.jpg,26.0,0.99650794
37,5_VAIPE_P_39_1.jpg,104.0,0.92352545
38,3_VAIPE_P_61_20.jpg,51.0,0.99829084
39,1_VAIPE_P_166_13.jpg,7.0,0.97757876
40,1_VAIPE_P_12_0.jpg,73.0,0.999895
41,2_VAIPE_P_89_10.jpg,104.0,0.9773196
42,0_VAIPE_P_5_11.jpg,51.0,0.6133123
43,0_VAIPE_P_160_3.jpg,7.0,0.94285643
44,2_VAIPE_P_46_2.jpg,51.0,0.83001894
45,0_VAIPE_P_73_19.jpg,51.0,0.4794254
46,6_VAIPE_P_162_9.jpg,22.0,0.9461302
47,1_VAIPE_P_57_6.jpg,11.0,0.8667303
48,1_VAIPE_P_89_14.jpg,92.0,0.9907178
49,2_VAIPE_P_151_3.jpg,64.0,0.99990654
50,1_VAIPE_P_41_5.jpg,64.0,0.9999976
51,3_VAIPE_P_24_0.jpg,7.0,0.9228804
